Date,AAPL,backtest,backtest_2
2019-10-04,56.75249863,1,0
2019-10-07,56.76499939,1,0
2019-10-08,56.09999847,0,0
2019-10-09,56.75749969,1,1
2019-10-10,57.52249908,1,0
2019-10-11,59.05250168,1,0
2019-10-14,58.96749878,0,0
2019-10-15,58.83000183,0,0
2019-10-16,58.59249878,0,0
2019-10-17,58.81999969,1,1
2019-10-18,59.10250092,1,0
2019-10-21,60.12749863,1,0
2019-10-22,59.99000168,0,0
2019-10-23,60.79499817,1,1
2019-10-24,60.89500046,1,0
2019-10-25,61.64500046,1,0
2019-10-28,62.26250076,1,0
2019-10-29,60.82249832,0,0
2019-10-30,60.81499863,0,0
2019-10-31,62.18999863,1,1
2019-11-01,63.95500183,1,0
2019-11-04,64.375,1,0
2019-11-05,64.28250122,0,0
2019-11-06,64.30999756,1,1
2019-11-07,64.85749817,1,0
2019-11-08,65.03500366,1,0
2019-11-11,65.55000305,1,0
2019-11-12,65.48999786,0,0
2019-11-13,66.11750031,1,1
2019-11-14,65.66000366,0,0
2019-11-15,66.44000244,1,1
2019-11-18,66.77500153,1,0
2019-11-19,66.57250214,0,0
2019-11-20,65.79750061,0,0
2019-11-21,65.50250244,0,0
2019-11-22,65.44499969,0,0
2019-11-25,66.59249878,1,1
2019-11-26,66.07250214,0,0
2019-11-27,66.95999908,1,1
2019-11-29,66.8125,0,0
2019-12-02,66.04000092,0,0
2019-12-03,64.86250305,0,0
2019-12-04,65.43499756,1,1
2019-12-05,66.39499664,1,0
2019-12-06,67.67749786,1,0
2019-12-09,66.73000336,0,0
2019-12-10,67.12000275,1,1
2019-12-11,67.69249725,1,0
2019-12-12,67.86499786,1,0
2019-12-13,68.78749847,1,0
2019-12-16,69.96499634,1,0
2019-12-17,70.10250092,1,0
2019-12-18,69.93499756,0,0
2019-12-19,70.00499725,1,1
2019-12-20,69.86000061,0,0
2019-12-23,71,1,1
2019-12-24,71.06749725,1,0
2019-12-26,72.47750092,1,0
2019-12-27,72.44999695,0,0
2019-12-30,72.87999725,1,1
2019-12-31,73.41249847,1,0
2020-01-02,75.08750153,1,0
2020-01-03,74.35749817,0,0
2020-01-06,74.94999695,1,1
2020-01-07,74.59750366,0,0
2020-01-08,75.79750061,1,1
2020-01-09,77.40750122,1,0
2020-01-10,77.58249664,1,0
2020-01-13,79.23999786,1,0
2020-01-14,78.16999817,0,0
2020-01-15,77.83499908,0,0
2020-01-16,78.80999756,1,1
2020-01-17,79.68250275,1,0
2020-01-21,79.14250183,0,0
2020-01-22,79.42500305,1,1
2020-01-23,79.80750275,1,0
2020-01-24,79.57749939,0,0
2020-01-27,77.23750305,0,0
2020-01-28,79.42250061,1,1
2020-01-29,81.08499908,1,0
2020-01-30,80.96749878,0,0
2020-01-31,77.37750244,0,0
2020-02-03,77.16500092,0,0
2020-02-04,79.71250153,1,1
2020-02-05,80.36250305,1,0
2020-02-06,81.30249786,1,0
2020-02-07,80.00749969,0,0
2020-02-10,80.38749695,1,1
2020-02-11,79.90249634,0,0
2020-02-12,81.80000305,1,1
2020-02-13,81.21749878,0,0
2020-02-14,81.23750305,1,1
2020-02-18,79.75,0,0
2020-02-19,80.90499878,1,1
2020-02-20,80.07499695,0,0
2020-02-21,78.26249695,0,0
2020-02-24,74.54499817,0,0
2020-02-25,72.01999664,0,0
2020-02-26,73.16249847,1,1
2020-02-27,68.37999725,0,0
2020-02-28,68.33999634,0,0
2020-03-02,74.70249939,1,1
2020-03-03,72.33000183,0,0
2020-03-04,75.68499756,1,1
2020-03-05,73.23000336,0,0
2020-03-06,72.25749969,0,0
2020-03-09,66.54250336,0,0
2020-03-10,71.33499908,1,1
2020-03-11,68.85749817,0,0
2020-03-12,62.05749893,0,0
2020-03-13,69.49250031,1,1
2020-03-16,60.55250168,0,0
2020-03-17,63.21500015,1,1
2020-03-18,61.66749954,0,0
2020-03-19,61.19499969,0,0
2020-03-20,57.31000137,0,0
2020-03-23,56.09249878,0,0
2020-03-24,61.72000122,1,1
2020-03-25,61.38000107,0,0
2020-03-26,64.61000061,1,1
2020-03-27,61.93500137,0,0
2020-03-30,63.70249939,1,1
2020-03-31,63.57249832,0,0
2020-04-01,60.22750092,0,0
2020-04-02,61.23249817,1,1
2020-04-03,60.35250092,0,0
2020-04-06,65.61750031,1,1
2020-04-07,64.85749817,0,0
2020-04-08,66.51750183,1,1
2020-04-09,66.99749756,1,0
2020-04-13,68.3125,1,0
2020-04-14,71.76249695,1,0
2020-04-15,71.10749817,0,0
2020-04-16,71.67250061,1,1
2020-04-17,70.69999695,0,0
2020-04-20,69.23249817,0,0
2020-04-21,67.09249878,0,0
2020-04-22,69.02500153,1,1
2020-04-23,68.75749969,0,0
2020-04-24,70.74250031,1,1
2020-04-27,70.79250336,1,0
2020-04-28,69.64499664,0,0
2020-04-29,71.93250275,1,1
2020-04-30,73.44999695,1,0
2020-05-01,72.26750183,0,0
2020-05-04,73.29000092,1,1
2020-05-05,74.38999939,1,0
2020-05-06,75.15750122,1,0
2020-05-07,75.93499756,1,0
2020-05-08,77.53250122,1,0
2020-05-11,78.75250244,1,0
2020-05-12,77.85250092,0,0
2020-05-13,76.91249847,0,0
2020-05-14,77.38500214,1,1
2020-05-15,76.92749786,0,0
2020-05-18,78.73999786,1,1
2020-05-19,78.28500366,0,0
2020-05-20,79.80750275,1,1
2020-05-21,79.21250153,0,0
2020-05-22,79.72250366,1,1
2020-05-26,79.18250275,0,0
2020-05-27,79.52749634,1,1
2020-05-28,79.5625,1,0
2020-05-29,79.48500061,0,0
2020-06-01,80.46250153,1,1
2020-06-02,80.83499908,1,0
2020-06-03,81.27999878,1,0
2020-06-04,80.58000183,0,0
2020-06-05,82.875,1,1
2020-06-08,83.36499786,1,0
2020-06-09,85.99749756,1,0
2020-06-10,88.20999908,1,0
2020-06-11,83.97499847,0,0
2020-06-12,84.69999695,1,1
2020-06-15,85.74749756,1,0
2020-06-16,88.01999664,1,0
2020-06-17,87.89749908,0,0
2020-06-18,87.93250275,1,1
2020-06-19,87.43000031,0,0
2020-06-22,89.71749878,1,1
2020-06-23,91.63249969,1,0
2020-06-24,90.01499939,0,0
2020-06-25,91.20999908,1,1
2020-06-26,88.40750122,0,0
2020-06-29,90.44499969,1,1
2020-06-30,91.19999695,1,0
2020-07-01,91.02749634,0,0
2020-07-02,91.02749634,0,0
2020-07-06,93.46250153,1,1
2020-07-07,93.17250061,0,0
2020-07-08,95.34249878,1,1
2020-07-09,95.75250244,1,0
2020-07-10,95.91999817,1,0
2020-07-13,95.47750092,0,0
2020-07-14,97.05750275,1,1
2020-07-15,97.72499847,1,0
2020-07-16,96.52249908,0,0
2020-07-17,96.32749939,0,0
2020-07-20,98.35749817,1,1
2020-07-21,97,0,0
2020-07-22,97.27249908,1,1
2020-07-23,92.84500122,0,0
2020-07-24,92.61499786,0,0
2020-07-27,94.80999756,1,1
2020-07-28,93.25250244,0,0
2020-07-29,95.04000092,1,1
2020-07-30,96.19000244,1,0
2020-07-31,106.2600021,1,0
2020-08-03,108.9375,1,0
2020-08-04,109.6650009,1,0
2020-08-05,110.0625,1,0
2020-08-06,113.9024963,1,0
2020-08-07,111.1125031,0,0
2020-08-10,112.7275009,1,1
2020-08-11,109.375,0,0
2020-08-12,113.0100021,1,1
2020-08-13,115.0100021,1,0
2020-08-14,114.9075012,0,0
2020-08-17,114.6074982,0,0
2020-08-18,115.5625,1,1
2020-08-19,115.7074966,1,0
2020-08-20,118.2750015,1,0
2020-08-21,124.3700027,1,0
2020-08-24,125.8574982,1,0
2020-08-25,124.8249969,0,0
2020-08-26,126.5224991,1,1
2020-08-27,125.0100021,0,0
2020-08-28,124.8075027,0,0
2020-08-31,129.0399933,1,1
2020-09-01,134.1799927,1,0
2020-09-02,131.3999939,0,0
2020-09-03,120.8799973,0,0
2020-09-04,120.9599991,1,1
2020-09-08,112.8199997,0,0
2020-09-09,117.3199997,1,1
2020-09-10,113.4899979,0,0
2020-09-11,112,0,0
2020-09-14,115.3600006,1,1
2020-09-15,115.5400009,1,0
2020-09-16,112.1299973,0,0
2020-09-17,110.3399963,0,0
2020-09-18,106.8399963,0,0
2020-09-21,110.0800018,1,1
2020-09-22,111.8099976,1,0
2020-09-23,107.1200027,0,0
2020-09-24,108.2200012,1,1
2020-09-25,112.2799988,1,0
2020-09-28,114.9599991,1,0
2020-09-29,114.0899963,0,0
2020-09-30,115.8099976,1,1
2020-10-01,116.7900009,1,0
2020-10-02,113.0199966,0,0
2020-10-05,116.5,1,1
2020-10-06,113.1600037,0,0
2020-10-07,115.0800018,1,1
2020-10-08,114.9700012,0,0
2020-10-09,116.9700012,1,1
2020-10-12,124.4000015,1,0
2020-10-13,121.0999985,0,0
2020-10-14,121.1900024,1,1
2020-10-15,120.7099991,0,0
2020-10-16,119.0199966,0,0
2020-10-19,115.9800034,0,0
2020-10-20,117.5100021,1,1
2020-10-21,116.8700027,0,0
2020-10-22,115.75,0,0
2020-10-23,115.0400009,0,0
2020-10-26,115.0500031,1,1
2020-10-27,116.5999985,1,0
2020-10-28,111.1999969,0,0
2020-10-29,115.3199997,1,1
2020-10-30,108.8600006,0,0
2020-11-02,108.7699966,0,0
2020-11-03,110.4400024,1,1
2020-11-04,114.9499969,1,0
2020-11-05,119.0299988,1,0
2020-11-06,118.6900024,0,0
2020-11-09,116.3199997,0,0
2020-11-10,115.9700012,0,0
2020-11-11,119.4899979,1,1
2020-11-12,119.2099991,0,0
2020-11-13,119.2600021,1,1
2020-11-16,120.3000031,1,0
2020-11-17,119.3899994,0,0
2020-11-18,118.0299988,0,0
2020-11-19,118.6399994,1,1
2020-11-20,117.3399963,0,0
2020-11-23,113.8499985,0,0
2020-11-24,115.1699982,1,1
2020-11-25,116.0299988,1,0
2020-11-27,116.5899963,1,0
2020-11-30,119.0500031,1,0
2020-12-01,122.7200012,1,0
2020-12-02,123.0800018,1,0
2020-12-03,122.9400024,0,0
2020-12-04,122.25,0,0
2020-12-07,123.75,1,1
2020-12-08,124.3799973,1,0
2020-12-09,121.7799988,0,0
2020-12-10,123.2399979,1,1
2020-12-11,122.4100037,0,0
2020-12-14,121.7799988,0,0
2020-12-15,127.8799973,1,1
2020-12-16,127.8099976,0,0
2020-12-17,128.6999969,1,1
2020-12-18,126.6600037,0,0
2020-12-21,128.2299957,1,1
2020-12-22,131.8800049,1,0
2020-12-23,130.9600067,0,0
2020-12-24,131.9700012,1,1
2020-12-28,136.6900024,1,0
2020-12-29,134.8699951,0,0
2020-12-30,133.7200012,0,0
2020-12-31,132.6900024,0,0
2021-01-04,129.4100037,0,0
2021-01-05,131.0099945,1,1
2021-01-06,126.5999985,0,0
2021-01-07,130.9199982,1,1
2021-01-08,132.0500031,1,0
2021-01-11,128.9799957,0,0
2021-01-12,128.8000031,0,0
2021-01-13,130.8899994,1,1
2021-01-14,128.9100037,0,0
2021-01-15,127.1399994,0,0
2021-01-19,127.8300018,1,1
2021-01-20,132.0299988,1,0
2021-01-21,136.8699951,1,0
2021-01-22,139.0700073,1,0
2021-01-25,142.9199982,1,0
2021-01-26,143.1600037,1,0
2021-01-27,142.0599976,0,0
2021-01-28,137.0899963,0,0
2021-01-29,131.9600067,0,0
2021-02-01,134.1399994,1,1
2021-02-02,134.9900055,1,0
2021-02-03,133.9400024,0,0
2021-02-04,137.3899994,1,1
2021-02-05,136.7599945,0,0
2021-02-08,136.9100037,1,1
2021-02-09,136.0099945,0,0
2021-02-10,135.3899994,0,0
2021-02-11,135.1300049,0,0
2021-02-12,135.3699951,1,1
2021-02-16,133.1900024,0,0
2021-02-17,130.8399963,0,0
2021-02-18,129.7100067,0,0
2021-02-19,129.8699951,1,1
2021-02-22,126,0,0
2021-02-23,125.8600006,0,0
2021-02-24,125.3499985,0,0
2021-02-25,120.9899979,0,0
2021-02-26,121.2600021,1,1
2021-03-01,127.7900009,1,0
2021-03-02,125.1200027,0,0
2021-03-03,122.0599976,0,0
2021-03-04,120.1299973,0,0
2021-03-05,121.4199982,1,1
2021-03-08,116.3600006,0,0
2021-03-09,121.0899963,1,1
2021-03-10,119.9800034,0,0
2021-03-11,121.9599991,1,1
2021-03-12,121.0299988,0,0
2021-03-15,123.9899979,1,1
2021-03-16,125.5699997,1,0
2021-03-17,124.7600021,0,0
2021-03-18,120.5299988,0,0
2021-03-19,119.9899979,0,0
2021-03-22,123.3899994,1,1
2021-03-23,122.5400009,0,0
2021-03-24,120.0899963,0,0
2021-03-25,120.5899963,1,1
2021-03-26,121.2099991,1,0
2021-03-29,121.3899994,1,0
2021-03-30,119.9000015,0,0
2021-03-31,122.1500015,1,1
2021-04-01,123,1,0
2021-04-05,125.9000015,1,0
2021-04-06,126.2099991,1,0
2021-04-07,127.9000015,1,0
2021-04-08,130.3600006,1,0
2021-04-09,133,1,0
2021-04-12,131.2400055,0,0
2021-04-13,134.4299927,1,1
2021-04-14,132.0299988,0,0
2021-04-15,134.5,1,1
2021-04-16,134.1600037,0,0
2021-04-19,134.8399963,1,1
2021-04-20,133.1100006,0,0
2021-04-21,133.5,1,1
2021-04-22,131.9400024,0,0
2021-04-23,134.3200073,1,1
2021-04-26,134.7200012,1,0
2021-04-27,134.3899994,0,0
2021-04-28,133.5800018,0,0
2021-04-29,133.4799957,0,0
2021-04-30,131.4600067,0,0
2021-05-03,132.5399933,1,1
2021-05-04,127.8499985,0,0
2021-05-05,128.1000061,1,1
2021-05-06,129.7400055,1,0
2021-05-07,130.2100067,1,0
2021-05-10,126.8499985,0,0
2021-05-11,125.9100037,0,0
2021-05-12,122.7699966,0,0
2021-05-13,124.9700012,1,1
2021-05-14,127.4499969,1,0
2021-05-17,126.2699966,0,0
2021-05-18,124.8499985,0,0
2021-05-19,124.6900024,0,0
2021-05-20,127.3099976,1,1
2021-05-21,125.4300003,0,0
2021-05-24,127.0999985,1,1
2021-05-25,126.9000015,0,0
2021-05-26,126.8499985,0,0
2021-05-27,125.2799988,0,0
2021-05-28,124.6100006,0,0
2021-06-01,124.2799988,0,0
2021-06-02,125.0599976,1,1
2021-06-03,123.5400009,0,0
2021-06-04,125.8899994,1,1
2021-06-07,125.9000015,1,0
2021-06-08,126.7399979,1,0
2021-06-09,127.1299973,1,0
2021-06-10,126.1100006,0,0
2021-06-11,127.3499985,1,1
2021-06-14,130.4799957,1,0
2021-06-15,129.6399994,0,0
2021-06-16,130.1499939,1,1
2021-06-17,131.7899933,1,0
2021-06-18,130.4600067,0,0
2021-06-21,132.3000031,1,1
2021-06-22,133.9799957,1,0
2021-06-23,133.6999969,0,0
2021-06-24,133.4100037,0,0
2021-06-25,133.1100006,0,0
2021-06-28,134.7799988,1,1
2021-06-29,136.3300018,1,0
2021-06-30,136.9600067,1,0
2021-07-01,137.2700043,1,0
2021-07-02,139.9600067,1,0
2021-07-06,142.0200043,1,0
2021-07-07,144.5700073,1,0
2021-07-08,143.2400055,0,0
2021-07-09,145.1100006,1,1